'mùa|m ˈuə2
sang|s ˈaː7 ŋ
sans|(en) s ˈa7 n z (vi)
santé|(en) s aa n t ˈeɪ7 (vi)
sao|s ˈaː7 w
sapristi|(en) s a1 p ɹ ˈɪ7 s t ii (vi)
sarraut|(en) s ˈa7 ɹ aʊ1 t (vi)
satan|(en) s ˈeɪ7 t ə1 n (vi)
sau|s ˈa7 w
sauce|(en) s ˈɔː7 s (vi)
scillier|(en) s ˈɪ7 l ii  əə (vi)
se|s ˈɛ7
securité|(en) s ɪ1 k j ˌʊə1 ɹ ɪ1 t ˈeɪ7 (vi)
seize|(en) s ˈiː7 z (vi)
sen|s ˈɛ7 n
sentence| s ˈɛ7 n t ə1 n s  
septembre|(en) s ˈɛ7 p t ɛ1 m b əə (vi)
service|(en) s ˈɜː7 v ɪ1 s (vi)
seulsz|(en) s j ˈuː7 l s z (vi)
sex|(en) s ˈɛ7 k s (vi)
sexuelle|(en) s ˈɛ7 k s j uː1 l (vi)
sexy|(en) s ˈɛ7 k s ii (vi)
shakespeare|(en) ʃ ˈeɪ7 k s p iə1 (vi)
shop|(en) ʃ ˈɒ7 p (vi)
short|(en) ʃ ˈɔːɔː t (vi)
simone|(en) s ˈɪ7 m əʊəʊ n (vi)
sinh|s ˈi7 ɲ
siêu|s ˈiɛ7 w
siếu|s ˈiɛɜ w
siệng|s ˈiɛ6 ŋ
snapchat|(en) s n ˈa7 p tʃ a1 t (vi)
so|s ˈɔ7
soa|s w ˈaː7
sodome|s ˈɔ7 z ɔ1 m ˌɛ1
soit|s ˈɔ7 j t̪
some|s ˈɔ7 m ɛ1
soufflees|ˈɛɜ s  ˈɔ1  ˈu1  ˈɛɜ p  ˈɛɜ p  ˈɛ1 l əː2  ˈɛ1  ˈɛ1  ˈɛɜ s
souffre|ˈɛɜ s  ˈɔ1  ˈu1  ˈɛɜ p  ˈɛɜ p  ˈɛ1 ʐ əː2  ˈɛ7
sous|(en) s ˈuː7 z (vi)
souvent|(en) s ˈuː7 v ɛ1 n t (vi)
soái|s w ˈaːɜ j
soóc|s w ˈɔɜ k
soăn|s w ˈa7 n
soạng|s w ˈaː6 ŋ
soạt|s w ˈaː6 t̪
soảng|s w ˈaː4 ŋ
spa|s p ˈaː7
speech| s p ˈiː7 tʃ  
st|ˌɛɜ s t ˈe7
staline|(en) s t ˈɑː7 l aɪ1 n (vi)
su|s ˈu7
suc|(en) s ˈʌ7 k (vi)
suis|(en) s ˈuː7 ii z (vi)
sum|s ˈu7 m
superflu|(en) s ˈuː7 p əə f l ˌuː1 (vi)
surtout|(en) s ˈɜː7 t aʊ1 t (vi)
suy'|s w ˈi7
suyển|s w ˈiɛ4 n
suzanne|(en) s ˈuː7 z a1 n (vi)
suông|s ˈuə7 ŋ
suất|s w ˈəɜ t̪
suồng|s ˈuə2 ŋ
symphonie|(en) s ˈɪ7 m f əʊəʊ n ii (vi)
sà|s ˈaː2
sàigoòng|s ˈaː2 j ɣ w ɔ2 ŋ
sàm|s ˈaː2 m
sàng|s ˈaː2 ŋ
sác|s ˈaːɜ c
sách|s ˈe-ɜ c
sám|s ˈaːɜ m
sáng|s ˈaːɜ ŋ
sát|s ˈaːɜ t̪
sáu|s ˈaɜ w
sân|s ˈə7 n
sây|s ˈəɪ7
sã|s ˈaː5
sèo|s ˈɛ2 w
sécurité|(en) s ˌeɪ1 k j ʊə1 ɹ ɪ1 t ˈeɪ7 (vi)
sép|s ˈɛɜ p
sét|s ˈɛɜ t̪
sê|s ˈe7
sêu|s ˈe1 w
sì|s ˈi2
sí|s ˈiɜ
sòm|s ˈɔ2 m
són|s ˈɔɜ n
sóng|s ˈɔɜ ŋ
sõng|s ˈɔ5 ŋ
sù|s ˈu2
sùi|s ˈu2 j
súp|s ˈuɜ p
súy|s w ˈiɜ
săm|s ˈa7 m
săng|s ˈa7 ŋ
sĩ|s ˈi5
sơ|s ˈəː7
sơm|s ˈəː7 m
sơn|s ˈəː7 n
sướng|s ˈyəɜ ŋ
sướt|s ˈyəɜ t̪
sường|s ˈyə2 ŋ
sượt|s ˈyə6 t̪
sạo|s ˈaː6 w
sạp|s ˈaː6 p
sảng|s ˈaː4 ŋ
sảnh|s ˈe-4 ɲ
sảy|s ˈa4 j
sấn|s ˈəɜ n
sầm|s ˈə2 m
sần|s ˈə2 n
sầu|s ˈə2 w
sẩm|s ˈə4 m
sẩn|s ˈə4 n
sập|s ˈə6 p
sắc|s ˈaɜ c
sắng|s ˈaɜ ŋ
sằng|s ˈa2 ŋ
sẳc|s ˈa4 c
sẳn|s ˈa4 n
sẵn|s ˈa5 n
sẵng|s ˈa5 ŋ
sặc|s ˈa6 c
sẹm|s ˈɛ6 m
sẻn|s ˈɛ4 n
sếch|s ˈeɜ c
sếp|s ˈeɜ p
sết|s ˈeɜ t̪
sề|s ˈe2
sền|s ˈe2 n
sềnh|s ˈe2 ɲ
sể|s ˈe4
sểnh|s ˈe4 ɲ
sễ|s ˈe5
sệch|s ˈe6 c
sị|s ˈi6
sịch|s ˈi6 c
sịt|s ˈi6 t̪
sọm|s ˈɔ6 m
số|s ˈoɜ
sốp|s ˈoɜ p
sốt|s ˈoɜ t̪
sồ|s ˈo2
sồn|s ˈo2 n
sồng|s ˈo2 ŋ
sổ|s ˈo4
sổi|s ˈo4 j
sỗ|s ˈo5
sộ|s ˈo6
sộc|s ˈo6 k
sộp|s ˈo6 p
sột|s ˈo6 t̪
sớ|s ˈəːɜ
sới|s ˈəːɜ j
sớn|s ˈəːɜ n
sờm|s ˈəː2 m
sở|s ˈəː4
sỡ|s ˈəː5
sợ|s ˈəː6
sụ|s ˈu6
sụa|s ˈuə6
sức|s ˈyɜ c
sừ|s ˈy2
sừng|s ˈy2 ŋ
sử|s ˈy4
sửng|s ˈy4 ŋ
sữa|s ˈyə5
sự|s ˈy6
sựthực|s ˈy6 t y6 c
sỹ|s ˈi5
t|t ˈe7
ta|t̪ ˈaː7
tai|t̪ ˈaː7 j
talon|(en) t ˈa7 l ɒ1 n (vi)
tam|t̪ ˈaː7 m
tango|(en) t ˈa7 ŋ ɡ əʊəʊ (vi)
tao|t̪ ˈaː7 w
tay|t̪ ˈa7 j
tb|t ˌe1 b ˈe7
te|t̪ ˈɛ7
temps|(en) t ˈɛ7 m p s (vi)
ten|t̪ ˈɛ7 n
text| t ˈɛ7 k s t  
tha|t ˈaː7
thai|t ˈaː7 j
tham|t ˈaː7 m
than|t ˈaː7 n
thanh|t ˈe-7 ɲ
thao|t ˈaː7 w
thay|t ˈa7 j
theo|t ˈɛ7 w
thermidor|(en) θ ˈɜː7 m ɪ1 d ˌɔːɔː (vi)
thi|t ˈi7
thia|t ˈiə7
thin|t ˈi7 n
this| ð ˈɪ7 s  
thiêm|t ˈiɛ7 m
thiên|t ˈiɛ7 n
thiếc|t ˈiɛɜ c
thiếp|t ˈiɛɜ p
thiết|t ˈiɛɜ t̪
thiềm|t ˈiɛ2 m
thiềng|t ˈiɛ2 ŋ
thiều|t ˈiɛ2 w
thiển|t ˈiɛ4 n
thiểu|t ˈiɛ4 w
thiện|t ˈiɛ6 n
thiệp|t ˈiɛ6 p
thiệu|t ˈiɛ6 w
tho|t ˈɔ7
thoang|t w ˈaː7 ŋ
thong|t ˈɔ7 ŋ
thoái|t w ˈaːɜ j
thoát|t w ˈaːɜ t̪
thoã|t w ˈaː5
thoăn|t w ˈa7 n
thoắng|t w ˈaɜ ŋ
thoắt|t w ˈaɜ t̪
three| θ ɹ ˈiː7  
thua|t ˈuə7
thuyên|t w ˈiɛ7 n
thuyến|t w ˈiɛɜ n
thuyết|t w ˈiɛɜ t̪
thuật|t w ˈə6 t̪
thuồng|t ˈuə2 ŋ
thuộc|t ˈuə6 c
thuộm|t ˈuə6 m
thuột|t ˈuə6 t̪
thyền|t ˈiɛ2 n
thà|t ˈaː2
thài|t ˈaː2 j
thành|t ˈe-2 ɲ
thào|t ˈaː2 w
thày|t ˈa2 j
thá|t ˈaːɜ
thách|t ˈe-ɜ c
thám|t ˈaːɜ m
thán|t ˈaːɜ n
tháng|t ˈaːɜ ŋ
thánh|t ˈe-ɜ ɲ
thân|t ˈə7 n
thãi|t ˈaː5 j
thèo|t ˈɛ2 w
thé|t ˈɛɜ
thét|t ˈɛɜ t̪
thê|t ˈe7
thêm|t ˈe7 m
thênh|t ˈe7 ɲ
thì|t ˌi2
thình|t ˈi2 ɲ
thìu|t ˈi2 w
thía|t ˈiəɜ
thím|t ˈiɜ m
thín|t ˈiɜ n
thíp|t ˈiɜ p
thít|t ˈiɜ t̪
thòi|t ˈɔ2 j
thó|t ˈɔɜ
thóa|t w ˈaːɜ
thôi|t ˈo7 j
thông|t ˈo7 ŋ
thôỉ|t ˈo7 i4
thôị|t ˈo7 i6
thõa|t w ˈaː5
thõng|t ˈɔ5 ŋ
thù|t ˈu2
thùm|t ˈu2 m
thùy|t w ˈi2
thú|t ˈuɜ
thút|t ˈuɜ t̪
thúy|t w ˈiɜ
thũng|t ˈu5 ŋ
thơ|t ˈəː7
thơi|t ˈəː7 j
thơn|t ˈəː7 n
thư|t ˈy7
thưa|t ˈyə7
thương|t ˈyə7 ŋ
thước|t ˈyəɜ c
thướt|t ˈyəɜ t̪
thường|t ˈyə2 ŋ
thưỡi|t ˈyə5 j
thưỡn|t ˈyə5 n
thược|t ˈyə6 c
thượng|t ˈyə6 ŋ
thạc|t ˈaː6 c
thạnh|t ˈe-6 ɲ
thạo|t ˈaː6 w
thạp|t ˈaː6 p
thả|t ˈaː4
thảm|t ˈaː4 m
thản|t ˈaː4 n
thảng|t ˈaː4 ŋ
thảnh|t ˈe-4 ɲ
thấp|t ˈəɜ p
thấy|t ˈəɪɜ
thầm|t ˈə2 m
thần|t ˈə2 n
thầy|t ˈəɪ2
thẩn|t ˈə4 n
thẫm|t ˈə5 m
thẫn|t ˈə5 n
thậm|t ˈə6 m
thận|t ˈə6 n
thật|t ˈə6 t̪
thắc|t ˈaɜ c
thắn|t ˈaɜ n
thằn|t ˈa2 n
thằng|t ˈa2 ŋ
thẳng|t ˈa4 ŋ
thẹn|t ˈɛ6 n
thẻ|t ˈɛ4
thế|t ˈeɜ
thếch|t ˈeɜ c
thếp|t ˈeɜ p
thều|t ˈe2 w
thể|t ˈe4
thểu|t ˈe4 w
thệ|t ˈe6
thỉ|t ˈi4
thỉnh|t ˈi4 ɲ
thỉu|t ˈi4 w
thị|t ˈi6
thịt|t ˈi6 t̪
thịu|t ˈi6 w
thọ|t ˈɔ6
thỏa|t w ˈaː4
thỏang|t w ˈaː4 ŋ
thỏi|t ˈɔ4 j
thỏm|t ˈɔ4 m
thỏng|t ˈɔ4 ŋ
thố|t ˈoɜ
thốc|t ˈoɜ k
thồ|t ˈo2
thồi|t ˈo2 j
thổn|t ˈo4 n
thớ|t ˈəːɜ
thới|t ˈəːɜ j
thời|t ˈəː2 j
thở|t ˈəː4
thợ|t ˈəː6
thụ|t ˈu6
thụi|t ˈu6 j
thụp|t ˈu6 p
thụy|t w ˈi6
thủ|t ˈu4
thủi|t ˈu4 j
thủng|t ˈu4 ŋ
thủy|t w ˈi4
thứ|t ˈyɜ
thức|t ˈyɜ c
thửa|t ˈyə4
thững|t ˈy5 ŋ
thực|t ˈy6 c
ti|t̪ ˈi7
tiens|(en) t ˈaɪ7 n z (vi)
tige|(en) t ˈaɪ7 ɡ (vi)
tin|t̪ ˈi7 n
tinh|t̪ ˈi7 ɲ
tino|(en) t ˈiː7 n əʊəʊ (vi)
tions|(en) t ɪ1  ˈɒ7 n z (vi)
tiu|t̪ ˈi7 w
tiên|t̪ ˈiɛ7 n
tiêu|t̪ ˈiɛ7 w
tiếc|t̪ ˈiɛɜ c
tiếm|t̪ ˈiɛɜ m
tiếng|t̪ ˈiɛɜ ŋ
tiếp|t̪ ˈiɛɜ p
tiết|t̪ ˈiɛɜ t̪
tiếu|t̪ ˈiɛɜ w
tiềm|t̪ ˈiɛ2 m
tiền|t̪ ˈiɛ2 n
tiềng|t̪ ˈiɛ2 ŋ
tiểng|t̪ ˈiɛ4 ŋ
tiễu|t̪ ˈiɛ5 w
tiệm|t̪ ˈiɛ6 m
to|t̪ ˈɔ7
toa|t̪ w ˈaː7
toanh|t̪ w ˈe-7 ɲ
toby|t̪ ˈɔ7 b i1
toe|t̪ w ˈɛ7
tol|(en) t ˈɒ7 l (vi)
tom|t̪ ˈɔ7 m
ton|t̪ ˈɔ7 n
tontaine|(en) t ˈɒ7 n t eɪ1 n (vi)
toong|t̪ ˈɔ7 ŋ
top|t̪ ˈɔ7 p
torng|t̪ ˈɔ7 z ŋ
toujours|(en) t ˈaʊ7 dʒ əə z (vi)
toulouạe|t̪ w w l w ˈuə6 ɛ1
tourane|(en) t ˈʊə7 ɹ eɪ1 n (vi)
tous|(en) t ˈuː7 z (vi)
toà|t̪ w ˈaː2
toài|t̪ w ˈaː2 j
toàn|t̪ w ˈaː2 n
toái|t̪ w ˈaːɜ j
toòng|t̪ w ˈɔ2 ŋ
toạ|t̪ w ˈaː6
toạc|t̪ w ˈaː6 c
toại|t̪ w ˈaː6 j
toản|t̪ w ˈaː4 n
toẹt|t̪ w ˈɛ6 t̪
tra|tʃ ˈaː7
trai|tʃ ˈaː7 j
trang|tʃ ˈaː7 ŋ
tranh|tʃ ˈe-7 ɲ
tre|tʃ ˈɛ7
tri|tʃ ˈi7
tring|tʃ ˈi7 ŋ
triêng|tʃ ˈiɛ7 ŋ
triết|tʃ ˈiɛɜ t̪
triềng|tʃ ˈiɛ2 ŋ
triệng|tʃ ˈiɛ6 ŋ
trong|tʃ ˈɔ7 ŋ
trop|tʃ ˈɔ7 p
truyền|tʃ w ˈiɛ2 n
truân|tʃ w ˈə7 n
truật|tʃ w ˈə6 t̪
truỵ|tʃ w ˈi6
trài|tʃ ˈaː2 j
trành|tʃ ˈe-2 ɲ
trá|tʃ ˈaːɜ
trác|tʃ ˈaːɜ c
trách|tʃ ˈe-ɜ c
trái|tʃ ˈaːɜ j
tráng|tʃ ˈaːɜ ŋ
trát|tʃ ˈaːɜ t̪
trãi|tʃ ˈaː5 j
très|(en) t ɹ ˈɛ7 z (vi)
trém|tʃ ˈɛɜ m
tréo|tʃ ˈɛɜ w
trê|tʃ ˈe7
trên|tʃ ˈe7 n
trêu|tʃ ˈe1 w
trì|tʃ ˈi2
trình|tʃ ˈi2 ɲ
trìu|tʃ ˈi2 w
trí|tʃ ˈiɜ
trò|tʃ ˈɔ2
tróng|tʃ ˈɔɜ ŋ
trô|tʃ ˈo7
trôm|tʃ ˈo7 m
trông|tʃ ˈo7 ŋ
trõn|tʃ ˈɔ5 n
trùi|tʃ ˈu2 j
trúm|tʃ ˈuɜ m
trăm|tʃ ˈa7 m
trĩnh|tʃ ˈi5 ɲ
trơi|tʃ ˈəː7 j
trư|tʃ ˈy7
trước|tʃ ˈyəɜ c
trướng|tʃ ˈyəɜ ŋ
trưởng|tʃ ˈyə4 ŋ
trưỡng|tʃ ˈyə5 ŋ
trạch|tʃ ˈe-6 c
trạnh|tʃ ˈe-6 ɲ
trả|tʃ ˈaː4
trảo|tʃ ˈaː4 w
trảu|tʃ ˈa4 w
trần|tʃ ˈə2 n
trẩm|tʃ ˈə4 m
trận|tʃ ˈə6 n
trập|tʃ ˈə6 p
trắng|tʃ ˈaɜ ŋ
trằn|tʃ ˈa2 n
trặn|tʃ ˈa6 n
trẹ|tʃ ˈɛ6
trẻ|tʃ ˈɛ4
trẻo|tʃ ˈɛ4 w
trẽn|tʃ ˈɛ5 n
trếch|tʃ ˈeɜ c
trệ|tʃ ˈe6
trị|tʃ ˈi6
trịa|tʃ ˈiə6
trịch|tʃ ˈi6 c
trịn|tʃ ˈi6 n
trịt|tʃ ˈi6 t̪
trọng|tʃ ˈɔ6 ŋ
trọt|tʃ ˈɔ6 t̪
trố|tʃ ˈoɜ
trối|tʃ ˈoɜ j
trốn|tʃ ˈoɜ n
trồ|tʃ ˈo2
trộ|tʃ ˈo6
trớ|tʃ ˈəːɜ
trớn|tʃ ˈəːɜ n
trờ|tʃ ˈəː2
trời|tʃ ˈəː2 j
trờn|tʃ ˈəː2 n
trợ|tʃ ˈəː6
trợt|tʃ ˈəː6 t̪
trụa|tʃ ˈuə6
trụt|tʃ ˈu6 t̪
trụy|tʃ w ˈi6
trứ|tʃ ˈyɜ
trừng|tʃ ˈy2 ŋ
trừu|tʃ ˈi2 w
trửng|tʃ ˈy4 ŋ
tui|t̪ ˈu7 j
tuy|t̪ w ˈi7
tuya|t̪ w ˈiə7
tuyn|t̪ w ˈi7 n
tuyên|t̪ w ˈiɛ7 n
tuyết|t̪ w ˈiɛɜ t̪
tuyền|t̪ w ˈiɛ2 n
tuyệt|t̪ w ˈiɛ6 t̪
tuông|t̪ ˈuə7 ŋ
tuý|t̪ w ˈiɜ
tuých|t̪ w ˈiɜ c
tuýt|t̪ w ˈiɜ t̪
tuất|t̪ w ˈəɜ t̪
tuần|t̪ w ˈə2 n
tuế|t̪ w ˈeɜ
tuếch|t̪ w ˈeɜ c
tuệ|t̪ w ˈe6
tuệch|t̪ w ˈe6 c
tuồn|t̪ ˈuə2 n
tuồng|t̪ ˈuə2 ŋ
ty|t̪ ˈi7
typn|(en) t ˈɪ7 p ə1 n (vi)
tàng|t̪ ˈaː2 ŋ
tành|t̪ ˈe-2 ɲ
tào|t̪ ˈaː2 w
tác|t̪ ˈaːɜ c
tám|t̪ ˈaːɜ m
tán|t̪ ˈaːɜ n
táu|t̪ ˈaɜ w
táy|t̪ ˈaɜ j
tâm|t̪ ˈə7 m
tân|t̪ ˈə7 n
tây|t̪ ˈəɪ7
tâỵ|t̪ ˈə7 i6
tèn|t̪ ˈɛ2 n
téc|t̪ ˈɛɜ c
télons|(en) t ˈeɪ7 l ɒ1 n z (vi)
tén|t̪ ˈɛɜ n
têu|t̪ ˈe1 w
tìn|t̪ ˈi2 n
tình|t̪ ˈi2 ɲ
tích|t̪ ˈiɜ c
tính|t̪ ˈiɜ ɲ
tíu|t̪ ˈiɜ w
tò|t̪ ˈɔ2
tòa|t̪ w ˈaː2
tòe|t̪ w ˈɛ2
tòi|t̪ ˈɔ2 j
tòm|t̪ ˈɔ2 m
tó|t̪ ˈɔɜ
tóe|t̪ w ˈɛɜ
tóp|t̪ ˈɔɜ p
tôi|t̪ ˈo7 j
tôm|t̪ ˈo7 m
tôn|t̪ ˈo7 n
tông|t̪ ˈo7 ŋ
tôị|t̪ ˈo7 i6
tù|t̪ ˈu2
tùm|t̪ ˈu2 m
tùy|t̪ w ˈi2
tú|t̪ ˈuɜ
túc|t̪ ˈuɜ c
túng|t̪ ˈuɜ ŋ
túp|t̪ ˈuɜ p
túy|t̪ w ˈiɜ
tý|t̪ ˈiɜ
tăm|t̪ ˈa7 m
tăn|t̪ ˈa7 n
tăng|t̪ ˈa7 ŋ
tĩnh|t̪ ˈi5 ɲ
tĩu|t̪ ˈi5 w
tũm|t̪ ˈu5 m
tơ|t̪ ˈəː7
tưa|t̪ ˈyə7
tương|t̪ ˈyə7 ŋ
tướng|t̪ ˈyəɜ ŋ
tườm|t̪ ˈyə2 m
tưởi|t̪ ˈyə4 j
tưởng|t̪ ˈyə4 ŋ
tượng|t̪ ˈyə6 ŋ
tượp|t̪ ˈyə6 p
tạch|t̪ ˈe-6 c
tại|t̪ ˈaː6 j
tạm|t̪ ˈaː6 m
tạy|t̪ ˈa6 j
tả|t̪ ˈaː4
tấn|t̪ ˈəɜ n
tấp|t̪ ˈəɜ p
tất|t̪ ˈəɜ t̪
tấu|t̪ ˈəɜ w
tấy|t̪ ˈəɪɜ
tần|t̪ ˈə2 n
tầu|t̪ ˈə2 w
tầy|t̪ ˈəɪ2
tẩy|t̪ ˈəɪ4
tậm|t̪ ˈə6 m
tật|t̪ ˈə6 t̪
tắn|t̪ ˈaɜ n
tắng|t̪ ˈaɜ ŋ
tằn|t̪ ˈa2 n
tẳn|t̪ ˈa4 n
tặc|t̪ ˈa6 c
tẹp|t̪ ˈɛ6 p
tẽn|t̪ ˈɛ5 n
tế|t̪ ˈeɜ
tếu|t̪ ˈeɜ w
tề|t̪ ˈe2
tể|t̪ ˈe4
tểnh|t̪ ˈe4 ɲ
tễ|t̪ ˈe5
tễnh|t̪ ˈe5 ɲ
tệch|t̪ ˈe6 c
tỉm|t̪ ˈi4 m
tỉnh|t̪ ˈi4 ɲ
tỉu|t̪ ˈi4 w
tọa|t̪ ˈo7 aː6
tọc|t̪ ˈɔ6 k
tọng|t̪ ˈɔ6 ŋ
tọt|t̪ ˈɔ6 t̪
tỏa|t̪ w ˈaː4
tỏng|t̪ ˈɔ4 ŋ
tối|t̪ ˈoɜ j
tốp|t̪ ˈoɜ p
tồn|t̪ ˈo2 n
tồng|t̪ ˈo2 ŋ
tổn|t̪ ˈo4 n
tổng|t̪ ˈo4 ŋ
tội|t̪ ˈo6 j
tớ|t̪ ˈəːɜ
tớn|t̪ ˈəːɜ n
tởm|t̪ ˈəː4 m
tục|t̪ ˈu6 c
tụng|t̪ ˈu6 ŋ
tụy|t̪ w ˈi6
tủa|t̪ ˈuə4
tủm|t̪ ˈu4 m
tủn|t̪ ˈu4 n
tủy|t̪ w ˈi4
tứ|t̪ ˈyɜ
tức|t̪ ˈyɜ c
từ|t̪ ˌy2
tử|t̪ ˈy4
tửa|t̪ ˈyə4
tửng|t̪ ˈy4 ŋ
tự|t̪ ˈy6
tựu|t̪ ˈi6 w
tỳ|t̪ ˈi2
tỵ|t̪ ˈi6
tỷ|t̪ ˈi4
ui|ˈu7 j
um|ˈu7 m
un|ˈu7 n
une|(en) j ˈuː7 n (vi)
uy|w ˈi7
uyển|w ˈiɛ4 n
uây|w ˈəɪ7
uất|w ˈəɜ t̪
uẩn|w ˈə4 n
uế|w ˈeɜ
uể|w ˈe4
uột|ˈuə6 t̪
uỵch|w ˈi6 c
uỷ|w ˈi4
v|v ˈe7
vachet|(en) v ˈa7 ʃ ɪ1 t (vi)
vai|v ˈaː7 j
valjean|(en) v ˈa7 l dʒ iə1 n (vi)
valse|(en) v ˈa7 l s (vi)
van|v ˈaː7 n
vang|v ˈaː7 ŋ
vanh|v ˈe-7 ɲ
vao|v ˈaː7 w
varenne|(en) v əə ɹ ˈɛ7 n (vi)
varie|(en) v ˈeə7 ɹ ii (vi)
varreau|(en) v ˈa7 ɹ əʊəʊ (vi)
vatise|(en) v ˈa7 t aɪ1 z (vi)
vay|v ˈa7 j
ve|v ˈɛ7
vee| v ˈiː7  
veo|(en) v ˈiː7  əʊəʊ (vi)
verdun|(en) v ˈɜː7 d ʌ1 n (vi)
verlaine|(en) v ˈɜː7 l eɪ1 n (vi)
very| v ˈɛ7 ɹ ii  
vi|v ˈi7
via|v ˈiə7
vie|(en) v ˈaɪ7 (vi)
vierge|(en) v ˈiə7 dʒ (vi)
vierges|(en) v ˈiə7 dʒ ɪ1 z (vi)
vigny|(en) v ˈɪ7 ɡ n ii (vi)
vila|(en) v ˈiː7 l ə1 (vi)
ville|(en) v ˈɪ7 l (vi)
vin|v ˈi7 n
viollia|(en) v ˈaɪə7 l ii  ə1 (vi)
violon|(en) v ˈaɪə7 l ɒ1 n (vi)
virginité|(en) v ˌɜː1 dʒ ɪ1 n ɪ1 t ˈeɪ7 (vi)
vit|(en) v ˈɪ7 t (vi)
viten|(en) v ˈaɪ7 t ə1 n (vi)
vitor|(en) v ˈɪ7 t əə (vi)
vive|(en) v ˈaɪ7 v (vi)
viên|v ˈiɛ7 n
viêng|v ˈiɛ7 ŋ
viết|v ˈiɛɜ t̪
viển|v ˈiɛ4 n
việc|v ˈiɛ6 c
việt|v ˈiɛ6 t̪
voi|v ˈɔ7 j
voisin|v ˈɔ7 j s i1 n
voleur|(en) v ˈəʊəʊ l ɜː1 (vi)
von|v ˈɔ7 n
vong|v ˈɔ7 ŋ
vous|(en) v ˈuː7 z (vi)
vousavez|(en) v ˈaʊ7 s eɪ1 v ˌɛ1 z (vi)
vrai|v z ˈaː7 j
vraiment|(en) v ɹ ˈaɪ7 m ə1 n t (vi)
vre|v z ˈɛ7
vu|v ˈu7
vua|v ˈuə7
vui|v ˈu7 j
vv|v ˌe1 v ˈe7
và|v ˌaː2
vàn|v ˈaː2 n
vàng|v ˈaː2 ŋ
vào|v ˈaː2 w
vàotrong|v ˈaː2 w tʃ ɔ1 ŋ
vày|v ˈa2 j
vánh|v ˈe-ɜ ɲ
váo|v ˈaːɜ w
vát|v ˈaːɜ t̪
vân|v ˈə7 n
vâng|v ˈə7 ŋ
vây|v ˈəɪ7
vã|v ˈaː5
vãn|v ˈaː5 n
vãng|v ˈaː5 ŋ
vãnh|v ˈe-5 ɲ
vèo|v ˈɛ2 w
vên|v ˈe7 n
vêu|v ˈe1 w
vì|v ˌi2
vít|v ˈiɜ t̪
vòng|v ˈɔ2 ŋ
vô|v ˈo7
vông|v ˈo7 ŋ
vùa|v ˈuə2
vùn|v ˈu2 n
vú|v ˈuɜ
văn|v ˈa7 n
văng|v ˈa7 ŋ
vĩnh|v ˈi5 ɲ
vũ|v ˈu5
vơ|v ˈəː7
vưom|v ˈy7 ɔ1 m
vưởng|v ˈyə4 ŋ
vại|v ˈaː6 j
vạm|v ˈaː6 m
vạn|v ˈaː6 n
vạng|v ˈaː6 ŋ
vảng|v ˈaː4 ŋ
vấn|v ˈəɜ n
vấu|v ˈəɜ w
vẩn|v ˈə4 n
vẩu|v ˈə4 w
vẩy|v ˈəɪ4
vẫn|v ˌə5 n
vập|v ˈə6 p
vật|v ˈə6 t̪
vậy|v ˈəɪ6
vậỵ|v ˈə6 i6
vắc|v ˈaɜ c
vằm|v ˈa2 m
vằng|v ˈa2 ŋ
vẳng|v ˈa4 ŋ
vặn|v ˈa6 n
vặt|v ˈa6 t̪
vẻ|v ˈɛ4
vẻo|v ˈɛ4 w
vếch|v ˈeɜ c
về|v ˈe2
vều|v ˈe2 w
vỉ|v ˈi4
vị|v ˈi6
vịm|v ˈi6 m
vịt|v ˈi6 t̪
vọ|v ˈɔ6
vọng|v ˈɔ6 ŋ
vọrg|v ˈe1  ˈɔ6  ˈɛ1 ʐ əː2  ð ˈe7
vỏn|v ˈɔ4 n
vố|v ˈoɜ
vối|v ˈoɜ j
vồn|v ˈo2 n
vỗ|v ˈo5
vội|v ˈo6 j
với|v ˌəːɜ j
vởn|v ˈəː4 n
vợ|v ˈəː6
vụ|v ˈu6
vủng|v ˈu4 ŋ
vừa|v ˈyə2
vửng|v ˈy4 ŋ
vững|v ˈy5 ŋ
vỹ|v ˈi5
wells|(en) w ˈɛ7 l z (vi)
whilsky|(en) w ˈɪ7 l s k ii (vi)
with| w ɪ1 ð  
xa|s ˈaː7
xang|s ˈaː7 ŋ
xanh|s ˈe-7 ɲ
xao|s ˈaː7 w
xe|s ˈɛ7
xem|s ˈɛ7 m
xeo|s ˈɛ7 w
xi|s ˈi7
xia|s ˈiə7
xin|s ˈi7 n
xiê|s ˈiɛ7
xiêm|s ˈiɛ7 m
xiết|s ˈiɛɜ t̪
xiểm|s ˈiɛ4 m
xiểng|s ˈiɛ4 ŋ
xo|s ˈɔ7
xoai|s w ˈaː7 j
xoan|s w ˈaː7 n
xoen|s w ˈɛ7 n
xom|s ˈɔ7 m
xon|s ˈɔ7 n
xong|s ˈɔ7 ŋ
xoàng|s w ˈaː2 ŋ
xoèn|s w ˈɛ2 n
xoét|s w ˈɛɜ t̪
xoả|s w ˈaː4
xoải|s w ˈaː4 j
xoảng|s w ˈaː4 ŋ
xoẹt|s w ˈɛ6 t̪
xui|s ˈu7 j
xum|s ˈu7 m
xuyết|s w ˈiɛɜ t̪
xuâm|s w ˈə7 m
xuân|s w ˈə7 n
xuând|(en) k ʃ ˈuː7 a1 n d (vi)
xuê|s w ˈe7
